City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,ambon,-3.6954,128.1814,27.08,83,40,2.06,ID,1696302611
197,el bauga,18.262,33.9081,30.62,20,2,4.56,SD,1696302612
198,peterhead,57.5058,-1.7981,9.22,82,42,5.97,GB,1696302612
199,prince george,53.9166,-122.753,8.68,93,22,0.55,CA,1696302612
200,hadibu,12.65,54.0333,26.62,82,17,1.9,YE,1696302613
201,lerwick,60.1545,-1.1494,12.0,83,7,9.41,GB,1696302613
202,karachev,53.1229,34.9852,5.2,92,2,2.36,RU,1696302613
203,weno,7.4515,151.8468,31.97,74,100,2.06,FM,1696302613
204,maceio,-9.6658,-35.7353,21.69,94,20,1.54,BR,1696302378
205,sao jose da coroa grande,-8.8978,-35.1478,24.87,71,44,3.47,BR,1696302614
206,kuala belait,4.5833,114.1833,30.11,67,100,0.64,BN,1696302614
207,yanam,16.7333,82.2167,29.52,71,98,3.14,IN,1696302614
208,afaahiti,-17.75,-149.2833,25.93,86,66,5.81,PF,1696302614
209,highlands,27.367,-81.3498,24.52,94,0,3.09,US,1696302582
210,enshi,30.3,109.4833,19.44,97,100,0.53,CN,1696302615
211,acarau,-2.8856,-40.12,25.89,86,11,6.16,BR,1696302615
212,lagoa,39.05,-27.9833,19.61,67,4,5.68,PT,1696302615
213,caarapo,-22.6342,-54.8222,26.76,54,85,2.1,BR,1696302615
214,masterton,-40.9597,175.6575,12.16,52,93,5.14,NZ,1696302595
215,georgetown,5.4112,100.3354,31.64,83,20,2.06,MY,1696302490
216,ust-nera,64.5667,143.2,1.79,68,29,1.34,RU,1696302616
217,mahdia,35.5047,11.0622,19.97,76,0,1.3,TN,1696302616
218,mili,6.0815,171.735,29.04,72,11,3.13,MH,1696302616
219,santa terezinha,-29.9002,-50.0904,13.55,82,1,2.75,BR,1696302616
220,zaterechnyy,44.7931,45.2097,15.01,82,100,2.28,RU,1696302616
221,tual,-5.6667,132.75,26.5,85,25,5.62,ID,1696302616
222,margaret river,-33.95,115.0667,15.08,59,90,4.48,AU,1696302616
223,laguna,38.421,-121.4238,22.16,44,0,2.57,US,1696302617
224,horta,38.5333,-28.6333,17.79,81,4,4.02,PT,1696302617
225,tillaberi,14.2117,1.4531,30.48,52,4,4.34,NE,1696302617
226,westport,41.1415,-73.3579,17.68,84,0,1.79,US,1696302617
227,burao,9.5221,45.5336,22.95,61,6,3.75,SO,1696302617
228,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1696302617
229,tomsk,58.5,82.5,6.27,82,8,5.52,RU,1696302618
230,la baneza,42.3003,-5.8977,14.64,78,10,2.76,ES,1696302618
231,bartica,6.4,-58.6167,27.18,93,100,1.42,GY,1696302618
232,korla,41.7597,86.1469,20.11,27,100,2.51,CN,1696302618
233,bakchar,57.0186,82.0711,7.61,74,5,3.79,RU,1696302618
234,rio grande,-32.035,-52.0986,11.64,87,25,4.4,BR,1696302618
235,green river,41.5286,-109.4662,8.88,55,8,1.34,US,1696302337
236,murun-kuren,49.6342,100.1625,7.1,44,2,4.25,MN,1696302495
237,bredasdorp,-34.5322,20.0403,12.45,95,0,2.01,ZA,1696302619
238,birao,10.2849,22.7882,22.24,95,100,1.3,CF,1696302619
239,takoradi,4.8845,-1.7554,24.71,90,50,3.57,GH,1696302619
240,nemuro,43.3236,145.575,16.2,68,7,9.83,JP,1696302619
241,kapuskasing,49.4169,-82.4331,17.13,83,88,2.4,CA,1696302619
242,nago,26.5881,127.9761,33.24,87,100,4.84,JP,1696302619
243,aur,8.1499,171.1687,28.62,78,96,5.72,MH,1696302620
244,west island,-12.1568,96.8225,26.99,65,40,5.14,CC,1696302620
245,cholpon-ata,42.6494,77.0823,13.86,65,76,1.44,KG,1696302620
246,lebu,-37.6167,-73.65,9.5,83,93,4.06,CL,1696302620
247,daulatpur,26.5015,67.9706,31.75,12,17,0.64,PK,1696302620
248,iquique,-20.2208,-70.1431,16.82,83,71,1.75,CL,1696302620
249,xining,36.6167,101.7667,11.62,82,100,0.59,CN,1696302620
250,kirkel,49.2833,7.2333,18.68,79,0,5.14,DE,1696302621
251,bodaybo,57.8506,114.1933,2.79,66,98,2.73,RU,1696302621
252,mogocha,53.7333,119.7667,4.3,95,99,1.34,RU,1696302621
253,forster,-32.1667,152.5167,34.65,53,0,9.32,AU,1696302621
254,zambezi,-13.5432,23.1047,22.23,42,4,3.52,ZM,1696302621
255,yauya,-8.9833,-77.3,12.26,76,96,1.3,PE,1696302621
256,amga,60.8953,131.9608,8.32,65,100,1.34,RU,1696302621
257,kanniyakumari,8.0833,77.5667,27.1,81,89,6.03,IN,1696302622
258,ceelbuur,4.685,46.6176,24.55,81,5,5.18,SO,1696302622
259,plaza huincul,-38.926,-69.2086,9.52,10,2,2.24,AR,1696302622
260,mahikeng,-25.8652,25.6442,12.3,72,0,8.23,ZA,1696302622
261,williston,48.147,-103.618,16.41,86,26,2.77,US,1696302413
262,yellowknife,62.456,-114.3525,9.12,98,88,1.34,CA,1696302622
263,monroeville,40.4212,-79.7881,19.93,80,0,0.7,US,1696302623
264,oriximina,-1.7656,-55.8661,28.48,60,53,2.86,BR,1696302623
265,sisimiut,66.9395,-53.6735,0.78,60,4,2.61,GL,1696302623
266,guiuan,11.0333,125.7247,28.79,75,100,5.66,PH,1696302623
267,menongue,-14.6585,17.691,19.76,52,46,0.82,AO,1696302391
268,ola,59.5833,151.2833,13.97,55,83,4.11,RU,1696302623
269,rumbek,6.802,29.6912,22.1,95,100,1.05,SS,1696302623
270,gadzhiyevo,69.2551,33.3362,1.49,75,100,2.92,RU,1696302623
271,klyuchi,52.2667,79.1667,6.95,44,16,4.22,RU,1696302624
272,terrace,54.5163,-128.6035,11.23,92,67,0.53,CA,1696302624
273,nar'yan-mar,67.6713,53.087,3.95,78,54,9.39,RU,1696302624
274,kourou,5.1552,-52.6478,26.03,82,59,4.48,GF,1696302624
275,altai,46.3722,96.2583,3.59,53,3,0.61,MN,1696302624
276,imbituba,-28.24,-48.6703,12.85,83,0,2.6,BR,1696302624
277,darnah,32.767,22.6367,23.6,60,0,8.11,LY,1696302625
278,carinhanha,-14.3047,-43.765,29.87,43,100,2.57,BR,1696302625
279,papao,-17.75,-149.55,26.82,83,3,6.3,PF,1696302601
280,mbuji-mayi,-6.15,23.6,22.91,75,18,1.16,CD,1696302466
281,holualoa,19.6228,-155.9522,25.99,78,0,3.6,US,1696302625
282,robore,-18.3333,-59.75,28.76,47,10,2.1,BO,1696302625
283,molchanovo,57.5817,83.7692,7.71,80,4,4.34,RU,1696302625
284,praia da vitoria,38.7333,-27.0667,18.75,81,35,5.52,PT,1696302626
285,mount pearl,47.5166,-52.7813,8.37,95,20,2.06,CA,1696302626
286,palu,-0.8917,119.8707,31.93,66,76,1.23,ID,1696302626
287,chela,34.069,104.4619,14.75,80,100,1.77,CN,1696302626
288,vilyuchinsk,52.9306,158.4028,9.15,83,100,3.07,RU,1696302626
289,moron,-34.6534,-58.6198,16.65,75,100,4.92,AR,1696302627
290,okap,19.7578,-72.2042,28.6,76,100,4.43,HT,1696302627
291,eraan,9.0629,117.7016,30.82,64,100,4.14,PH,1696302627
292,ghat,24.9647,10.1728,25.3,38,0,1.32,LY,1696302627
293,la'ie,21.6477,-157.9253,27.98,73,25,2.68,US,1696302627
294,porto novo,6.4965,2.6036,24.9,92,48,2.46,BJ,1696302584
295,vilyuysk,63.7553,121.6247,-0.56,77,32,2.24,RU,1696302628
296,tazovsky,67.4667,78.7,7.76,94,100,8.61,RU,1696302628
297,tank,32.2217,70.3793,29.34,15,0,0.83,PK,1696302628
298,tromso,69.6496,18.957,3.01,87,100,2.06,NO,1696302628
299,sorong,-0.8833,131.25,25.08,90,100,2.83,ID,1696302628
300,selfoss,63.9331,-20.9971,5.02,77,68,4.33,IS,1696302628
301,newman,37.3138,-121.0208,21.99,52,33,0.89,US,1696302628
302,hutchinson,38.0608,-97.9298,25.02,50,0,5.14,US,1696302557
303,camana,-16.6228,-72.7111,17.44,88,49,2.93,PE,1696302629
304,kavaratti,10.5669,72.642,27.73,74,100,3.04,IN,1696302629
305,asau,46.4333,26.4,5.51,78,8,2.22,RO,1696302629
306,codrington,-38.2667,141.9667,15.18,62,97,6.84,AU,1696302629
307,labytnangi,66.6572,66.4183,2.25,71,13,6.81,RU,1696302629
308,rio gallegos,-51.6226,-69.2181,7.48,58,100,3.59,AR,1696302506
309,strelka,58.0728,93.0344,4.48,93,100,2.98,RU,1696302630
310,preobrazheniye,42.9019,133.9064,19.13,40,12,3.58,RU,1696302630
311,mount gambier,-37.8333,140.7667,13.67,76,59,5.75,AU,1696302431
312,quesnel,52.9999,-122.5029,9.18,85,12,0.54,CA,1696302630
313,magadan,59.5667,150.8,13.63,55,51,3.58,RU,1696302630
314,chonchi,-42.6128,-73.8092,5.07,97,68,0.63,CL,1696302630
315,albertina,-22.2008,-46.6158,18.87,89,33,1.2,BR,1696302631
316,haiku-pauwela,20.9219,-156.3051,28.01,64,20,3.09,US,1696302631
317,malkara,40.89,26.9011,12.69,71,0,2.72,TR,1696302631
318,santa cruz,-17.8,-63.1667,26.7,74,77,4.12,BO,1696302517
319,al bawiti,28.3492,28.8659,20.03,67,12,3.05,EG,1696302631
320,saint-paul,-21.0096,55.2707,22.22,83,4,0.45,RE,1696302631
321,wajir,1.7471,40.0573,23.76,77,47,5.9,KE,1696302631
322,as sulayyil,20.4607,45.5779,22.14,17,0,0.88,SA,1696302632
323,acapulco de juarez,16.8634,-99.8901,29.9,79,100,2.57,MX,1696302590
324,chimoio,-19.1164,33.4833,15.06,84,71,1.92,MZ,1696302632
325,terra rica,-22.7094,-52.6169,25.3,63,59,1.81,BR,1696302381
326,changleng,28.7,115.8167,26.89,66,37,3.32,CN,1696302632
327,mil'kovo,55.6078,37.7956,9.22,79,69,2.79,RU,1696302632
328,mejit,10.2753,170.8646,28.63,77,21,5.7,MH,1696302632
329,ulladulla,-35.35,150.4667,31.54,31,98,3.0,AU,1696302633
330,kabansk,52.0486,106.6528,7.22,57,100,2.48,RU,1696302633
331,rawson,-43.3002,-65.1023,9.2,63,62,1.76,AR,1696302633
332,beau vallon,-20.4189,57.6953,23.45,77,0,0.44,MU,1696302633
333,trento,46.0679,11.1211,17.32,79,0,0.97,IT,1696302633
334,lashio,22.9333,97.75,22.29,93,94,0.31,MM,1696302633
335,tazacorte,28.629,-17.9293,23.54,83,0,4.63,ES,1696302633
336,carnarvon,-24.8667,113.6333,21.06,36,0,9.45,AU,1696302416
337,faya-largeau,17.9257,19.1043,26.79,35,36,14.2,TD,1696302634
338,tefe,-3.3542,-64.7114,26.99,43,100,0.89,BR,1696302634
339,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,85,75,6.71,RU,1696302450
340,hilo,19.7297,-155.09,26.16,81,100,0.45,US,1696302418
341,la sarre,48.8002,-79.1996,20.06,73,88,5.23,CA,1696302440
342,cangzhou,38.3167,116.8667,23.83,41,0,4.25,CN,1696302635
343,choyr,46.3611,108.3611,7.04,57,63,2.57,MN,1696302636
344,conduaga,8.862,117.4893,30.1,68,100,4.18,PH,1696302636
345,soe,-9.8607,124.284,30.58,29,0,4.53,ID,1696302636
346,dhaurahra,28.0,81.0833,26.73,83,100,0.74,IN,1696302636
347,alsunga,56.9819,21.5594,15.8,97,100,3.62,LV,1696302636
348,bafoulabe,13.8065,-10.8321,24.33,81,100,0.57,ML,1696302439
